1	2390482.00
2	2388511.00
3	2387321.00
4	2385060.00
5	2382582.00
6	2379418.00
7	2377949.00
8	2373199.00
9	2370391.00
10	2366477.00
11	2361951.00
12	2357488.00
13	2353434.00
14	2347217.00
15	2343109.00
16	2336427.00
17	2331819.00
18	2325628.00
19	2319479.00
20	2312545.00
21	2309014.00
22	2306958.00
23	2305921.00
24	2305064.00
25	2304223.00
26	2303203.00
27	2302504.00
28	2301199.00
29	2300146.00
30	2299520.00
31	2298691.00
32	2297874.00
33	2297274.00
34	2296563.00
35	2296318.00
36	2295963.00
37	2295737.00
38	2295569.00
39	2295414.00
40	2295116.00
41	2295130.00
42	2294923.00
43	2294881.00
44	2294595.00
45	2294396.00
46	2294136.00
47	2293843.00
48	2293603.00
49	2293528.00
50	2293534.00
51	2293542.00
52	2293529.00
53	2293498.00
54	2293431.00
55	2293375.00
56	2293358.00
57	2293358.00
58	2293356.00
59	2293356.00
60	2293356.00
61	2293352.00
62	2293352.00
63	2293352.00
64	2293352.00
65	2293352.00
66	2293352.00
67	2293352.00
68	2293352.00
69	2293352.00
70	2293352.00
71	2293352.00
72	2293352.00
73	2293352.00
74	2293352.00
75	2293352.00
76	2293352.00
77	2293352.00
78	2293352.00
79	2293352.00
80	2293352.00
81	2293352.00
82	2293352.00
83	2293352.00
84	2293352.00
85	2293352.00
86	2293352.00
87	2293352.00
88	2293352.00
89	2293352.00
90	2293352.00
91	2293352.00
92	2293352.00
93	2293352.00
94	2293352.00
95	2293352.00
96	2293352.00
97	2293352.00
98	2293352.00
99	2293352.00
100	2293352.00
